Garm Brood,Unknown,6f8da3c3cc8d08d9cf882700efa049280aedca8c,SevenPool,1,1
Fenris Brood,Unknown,6f8da3c3cc8d08d9cf882700efa049280aedca8c,FivePool,1,0
Mar Sara,Unknown,9bfc271360fa5bab3707a29e1326b84d0ff58911,SixPool,1,0
Atlas Wing,Unknown,9bfc271360fa5bab3707a29e1326b84d0ff58911,EightPool,1,0
Sargas Tribe,Unknown,4e24f217d2fe4dbfa6799bc57f74d8dc939d425b,EightPool,1,1
Velari Tribe,Unknown,ba2fc0ed637e4ec91cc70424335b3c13e131b75a,FivePool,1,1
Velari Tribe,Unknown,de2ada75fbc741cfa261ee467bf6416b10f9e301,SevenPool,1,0
Baelrog Brood,Unknown,1e983eb6bcfa02ef7d75bd572cb59ad3aab49285,EightPool,1,0
Sargas Tribe,Protoss,ba2fc0ed637e4ec91cc70424335b3c13e131b75a,SevenPool,1,1
Velari Tribe,Protoss,ba2fc0ed637e4ec91cc70424335b3c13e131b75a,FivePool,2,2
Venatir Tribe,Protoss,ba2fc0ed637e4ec91cc70424335b3c13e131b75a,SixPool,3,3
Akilae Tribe,Protoss,ba2fc0ed637e4ec91cc70424335b3c13e131b75a,FourPool,2,1
Velari Tribe,Protoss,ba2fc0ed637e4ec91cc70424335b3c13e131b75a,SevenPool,3,1
Velari Tribe,Protoss,ba2fc0ed637e4ec91cc70424335b3c13e131b75a,SixPool,2,0
Furinax Tribe,Protoss,ba2fc0ed637e4ec91cc70424335b3c13e131b75a,SevenPool,2,1
Sargas Tribe,Protoss,ba2fc0ed637e4ec91cc70424335b3c13e131b75a,EightPool,11,0
Venatir Tribe,Protoss,ba2fc0ed637e4ec91cc70424335b3c13e131b75a,EightPool,12,1
Velari Tribe,Protoss,ba2fc0ed637e4ec91cc70424335b3c13e131b75a,EightPool,10,1
Akilae Tribe,Protoss,ba2fc0ed637e4ec91cc70424335b3c13e131b75a,FivePool,1,0
Auriga Tribe,Protoss,ba2fc0ed637e4ec91cc70424335b3c13e131b75a,EightPool,9,3
Shelak Tribe,Protoss,ba2fc0ed637e4ec91cc70424335b3c13e131b75a,SevenPool,2,0
Sargas Tribe,Protoss,ba2fc0ed637e4ec91cc70424335b3c13e131b75a,SixPool,1,0
Shelak Tribe,Protoss,ba2fc0ed637e4ec91cc70424335b3c13e131b75a,Genetic,176,0
Akilae Tribe,Protoss,ba2fc0ed637e4ec91cc70424335b3c13e131b75a,Genetic,203,0
Venatir Tribe,Protoss,ba2fc0ed637e4ec91cc70424335b3c13e131b75a,Genetic,170,0
Auriga Tribe,Protoss,ba2fc0ed637e4ec91cc70424335b3c13e131b75a,Genetic,165,0
Furinax Tribe,Protoss,ba2fc0ed637e4ec91cc70424335b3c13e131b75a,Genetic,180,0
Velari Tribe,Protoss,ba2fc0ed637e4ec91cc70424335b3c13e131b75a,Genetic,161,0
Ara Tribe,Protoss,ba2fc0ed637e4ec91cc70424335b3c13e131b75a,Genetic,186,0
Sargas Tribe,Protoss,ba2fc0ed637e4ec91cc70424335b3c13e131b75a,Genetic,183,0
Auriga Tribe,Protoss,ba2fc0ed637e4ec91cc70424335b3c13e131b75a,FivePool,1,0
Furinax Tribe,Protoss,ba2fc0ed637e4ec91cc70424335b3c13e131b75a,SixPool,1,1
Ara Tribe,Protoss,ba2fc0ed637e4ec91cc70424335b3c13e131b75a,SixPool,1,0
Venatir Tribe,Protoss,ba2fc0ed637e4ec91cc70424335b3c13e131b75a,SevenPool,1,0
Furinax Tribe,Protoss,ba2fc0ed637e4ec91cc70424335b3c13e131b75a,FivePool,1,0
Ara Tribe,Protoss,ba2fc0ed637e4ec91cc70424335b3c13e131b75a,SevenPool,1,0
Tiamat Brood,Unknown,ba2fc0ed637e4ec91cc70424335b3c13e131b75a,FivePool,1,1
Cronus Wing,Unknown,ba2fc0ed637e4ec91cc70424335b3c13e131b75a,SevenPool,1,0
Leviathan Brood,Unknown,ba2fc0ed637e4ec91cc70424335b3c13e131b75a,SevenPool,1,1
Tiamat Brood,Unknown,ba2fc0ed637e4ec91cc70424335b3c13e131b75a,FourPool,1,1
Antiga,Unknown,ba2fc0ed637e4ec91cc70424335b3c13e131b75a,FivePool,1,1
Atlas Wing,Unknown,ba2fc0ed637e4ec91cc70424335b3c13e131b75a,FivePool,1,1
Ara Tribe,Unknown,ba2fc0ed637e4ec91cc70424335b3c13e131b75a,SixPool,1,1
Furinax Tribe,Unknown,ba2fc0ed637e4ec91cc70424335b3c13e131b75a,FivePool,1,0
Jormungand Brood,Unknown,ba2fc0ed637e4ec91cc70424335b3c13e131b75a,SixPool,1,1
Grendel Brood,Unknown,ba2fc0ed637e4ec91cc70424335b3c13e131b75a,SixPool,1,1
Cronus Wing,Unknown,ba2fc0ed637e4ec91cc70424335b3c13e131b75a,SixPool,1,0
Furinax Tribe,Unknown,ba2fc0ed637e4ec91cc70424335b3c13e131b75a,SixPool,1,0
Leviathan Brood,Unknown,ba2fc0ed637e4ec91cc70424335b3c13e131b75a,FivePool,1,1
Baelrog Brood,Unknown,ba2fc0ed637e4ec91cc70424335b3c13e131b75a,FivePool,1,1
Antiga,Unknown,ba2fc0ed637e4ec91cc70424335b3c13e131b75a,FourPool,1,1
Kel-Morian Combine,Unknown,ba2fc0ed637e4ec91cc70424335b3c13e131b75a,FourPool,1,1
Delta Squadron,Unknown,ba2fc0ed637e4ec91cc70424335b3c13e131b75a,EightPool,8,3
Auriga Tribe,Unknown,ba2fc0ed637e4ec91cc70424335b3c13e131b75a,SevenPool,1,0
Grendel Brood,Unknown,ba2fc0ed637e4ec91cc70424335b3c13e131b75a,FivePool,1,0
Elite Guard,Unknown,ba2fc0ed637e4ec91cc70424335b3c13e131b75a,EightPool,6,4
Kel-Morian Combine,Unknown,ba2fc0ed637e4ec91cc70424335b3c13e131b75a,EightPool,7,3
Epsilon Squadron,Unknown,ba2fc0ed637e4ec91cc70424335b3c13e131b75a,EightPool,14,8
Furinax Tribe,Unknown,ba2fc0ed637e4ec91cc70424335b3c13e131b75a,EightPool,6,3
Cronus Wing,Unknown,ba2fc0ed637e4ec91cc70424335b3c13e131b75a,EightPool,7,3
Ara Tribe,Unknown,ba2fc0ed637e4ec91cc70424335b3c13e131b75a,EightPool,4,1
Shelak Tribe,Unknown,ba2fc0ed637e4ec91cc70424335b3c13e131b75a,EightPool,5,2
Auriga Tribe,Unknown,ba2fc0ed637e4ec91cc70424335b3c13e131b75a,EightPool,5,0
Sargas Tribe,Unknown,ba2fc0ed637e4ec91cc70424335b3c13e131b75a,EightPool,4,0
Surtur Brood,Unknown,ba2fc0ed637e4ec91cc70424335b3c13e131b75a,EightPool,9,9
Antiga,Unknown,ba2fc0ed637e4ec91cc70424335b3c13e131b75a,EightPool,7,2
Akilae Tribe,Unknown,ba2fc0ed637e4ec91cc70424335b3c13e131b75a,EightPool,5,0
Leviathan Brood,Unknown,ba2fc0ed637e4ec91cc70424335b3c13e131b75a,EightPool,10,9
Mar Sara,Unknown,ba2fc0ed637e4ec91cc70424335b3c13e131b75a,EightPool,8,4
Garm Brood,Unknown,ba2fc0ed637e4ec91cc70424335b3c13e131b75a,EightPool,12,12
Fenris Brood,Unknown,ba2fc0ed637e4ec91cc70424335b3c13e131b75a,EightPool,5,5
Jormungand Brood,Unknown,ba2fc0ed637e4ec91cc70424335b3c13e131b75a,EightPool,5,4
Baelrog Brood,Unknown,ba2fc0ed637e4ec91cc70424335b3c13e131b75a,EightPool,3,1
Venatir Tribe,Unknown,ba2fc0ed637e4ec91cc70424335b3c13e131b75a,EightPool,8,1
Grendel Brood,Unknown,ba2fc0ed637e4ec91cc70424335b3c13e131b75a,EightPool,2,1
Velari Tribe,Unknown,ba2fc0ed637e4ec91cc70424335b3c13e131b75a,EightPool,3,0
Tiamat Brood,Unknown,ba2fc0ed637e4ec91cc70424335b3c13e131b75a,EightPool,9,9
Atlas Wing,Unknown,ba2fc0ed637e4ec91cc70424335b3c13e131b75a,EightPool,7,6
Ara Tribe,Protoss,ba2fc0ed637e4ec91cc70424335b3c13e131b75a,EightPool,13,4
Shelak Tribe,Protoss,ba2fc0ed637e4ec91cc70424335b3c13e131b75a,EightPool,11,2
Furinax Tribe,Protoss,ba2fc0ed637e4ec91cc70424335b3c13e131b75a,EightPool,10,1
Akilae Tribe,Protoss,ba2fc0ed637e4ec91cc70424335b3c13e131b75a,EightPool,11,2
